Supplier_Name,Product_Name,Product_Url,Price,Lat,Lng
Pc Place ,"Hp 15 – Dy2033 Laptop Core I7 Quad Core 
256Gb Ssd 8Gb Ram 15.6″ Win11
 Natural Silver",https://pcplaceng.com/product/hp-15-dy2033-core-i7-256gb-ssd-8gb-ram/,"930,000.00",6.588323,3.358744
Pointeck,Hp 15 Intel Celeron 4Gb Ram 1Tb Hdd,https://www.pointekonline.com/product/hp-15-intel-celeron-4gb-ram-1tb-hdd/,"265,000.00",6.519062,3.375956
Slot ,Hp Pavilion 15-Eh0011Nia (Amd Ryzen 3/8Gb/256Gb Ssd/15.6 Fhd/Touch/Win10H/Forest Steal,https://slot.ng/hp-pavilion-15-eh0011nia-amd-ryzen-3-8gb-256gb-ssd-15-6-fhd-touch-win10h-forest-steal.html,"924,000.00",6.519062,3.375827
Jumia,"Hp Pavilion 15 X360 11Th Gen Intel Core™ I3,512 Ssd, 16Gb Ram Touchscreen, Wins 10 + Free Mouse",https://www.jumia.com.ng/pavilion-15-x360-11th-gen-intel-coretm-i3512-ssd-16gb-ram-touchscreen-wins-10-free-mouse-hp-mpg2313575.html,"880,000.00",6.620182,3.344622
Konga,Hp 250G9 I7-1255U 15 8Gb/512Gb Pc-Freedos (6S6V4Ea),https://www.konga.com/product/hp-250g9-i7-1255u-15-8gb-512gb-pc-freedos-6s6v4ea-6304147?cid=5252,"763,800.00",6.505557,3.380192
Pointeck,Apple Iphone 15 256Gb,https://www.pointekonline.com/product/apple-iphone-15-256gb/,"1,520,000.00",6.519062,3.375956
Slot,Apple Iphone 15 Pro,https://slot.ng/apple-iphone-15-pro-512gb-single-sim.html,"2,221,000.00",6.519062,3.375827
Jumia,Apple Iphone 15 Pro Max 512Gb - Nano Sim - Natural Titanium,https://www.jumia.com.ng/apple-iphone-15-pro-max-512gb-nano-sim-natural-titanium-262093092.html,"2,300,000.00",6.620182,3.344622
Konga,Apple Iphone 15 - 6.1'' - 256Gb Rom - 6Gb Ram - 3349Mah - Black,https://www.konga.com/product/apple-iphone-15-6-1-256gb-rom-6gb-ram-3349mah-black-6307641?cid=7541,"1,707,200.00",6.505557,3.380192
Just Fones,Apple Iphone 15 Pro 256Gb - 5G,https://www.justfones.ng/apple-iphone-15-pro-256gb-5g.html?srsltid=AfmBOoou_RB2wNpBC7QnGgAqbow0N_ziuESxdNrn0Gr7L0I4FncovJ8H,"1,750,000.00",6.594911,3.340512
Winnyzinteriors,11 Seater U Shaped 3 Piece Sofa,https://winnyzinteriors.com/product/11-seater-u-shaped-3-piece-sofa/,"1,100,000.00",6.531735,3.349561
Vento Furniture,Paolo Sofa Set,https://ventofurniture.com/product/paolo-sofa-set/,"13,150,160.00",6.448567,3.479741
Largelifedesigns,Bluesky Series (Spacious) 5 Series Sectional Sofa,https://largelifedesigns.com/shop/living-room-furniture/sofa/bluesky-series-spacious-5-series-sectional-sofa/,"900,000.00",6.600847,3.274152
Elifemate,Leather L-Shape Sofa (Sa286C),https://elifemate.com/product/leather-l-shape-sofa-sa286c/,"1,573,000.00",6.600498,3.368566
Boconcept,Southampton,https://www.boconcept.com/en-ng/p/southampton/499ab00-14:3207/,"18,268,800.00",6.435605,3.433983
Eunicon,L-Shape Royal Sofa,https://www.eunicon.com.ng/products/l-shape-royal-sofa?_pos=1&_sid=adf89e912&_ss=r&variant=45835074371751,"1,600,000.00",6.506618,3.350213
Latalata,Lg 10.5Kg Front Load Washing Machine | Wm 4V3Ryp6Je-F,https://latalata.ng/LG-10-5KG-Front-Load-Washing-Machine-WM-4V3RYP6JE-F-BAA000019S00SU384?search=lg&category_id=0,"547,100.00",6.499369,3.358571
Jamara Home,"Samsung Washing Machine / Front Load / 
12Kg/Ww12T504Dan",https://www.jamarahome.com/products/samsung-washing-machine-front-load-12kg-ww12t504dan?_pos=5&_sid=1c5d164dd&_ss=r,"312,490.00",6.637523,3.355492
Electromart,"Hisense Front Load, 8Kg, Smart Control,
Silver, Energy Saving, Rpm,1200,
Inverter 8014T-Wfqp",https://electromart.com.ng/product/hisense-front-load-8kg-smart-control-silver-energy-saving-rpm1200inverter-8014t-wfqp/,"312,490.00",6.589948,3.375465
Slot,Lg Washing Machine Top Loader 6Kg Manual Wm710,https://slot.ng/lg-washing-machine-top-loader-6kg-manual-wm710.html,"187,700.00",6.519062,3.375827
Konga,"Hisense Front Load Washing Machine, 6Kg, Smart Control, Silver",https://www.konga.com/product/hisense-front-load-washing-machine-6kg-smart-control-silver-6389683?cid=5594,"368,720.00",6.505557,3.380192
Car45,Mercedes-Benz M Class Ml 350 4Matic 2012 Gray,https://www.cars45.com/jEY4wdZgOYKxnFgSQxXKLrMo89xENw8,"25,550,000.00",6.594477,3.363151
Autocheck,Mercedes-Benz C 300 - 2012,https://autochek.africa/ng/car/Mercedes-Benz-C-300-ref--zn4GYVmZ,"17,515,000.00",6.576712,3.395346
Betacar,"2008 Lexus Rx 350 Mileage:173,093",https://www.betacar.ng/2008-lexus-rx-350-mileage,"14,650,000.00",6.437064,3.474192
Ymg,2019 Toyota Rav4 Xle,https://www.ymgautosales.com/car-details?s=5K8D0T,"23,000,000.00",6.553969,3.367279
Car Mart,New Entry 2017 Lexus Rx 350 Fsport,https://carmart.africa/new-entry-2017-lexus-rx-350-fsport_i12350.html,"63,000,000.00",6.600937,3.344149
Pc International,Hp Zbook 15 Power G9 | I7 12700H | 32Gb | 1Tb Ssd | 15.6″ Uhd | Rtx A2000 8Gb | Win 11 Pro,https://pcinternational.co.za/product/hp-zbook-15-power-g9-69q27ea/,"49,265.00",-26.0799,28.11732
First Shop,Hp 250 G9 15.6-Inch Fhd Laptop - Intel Core I7-1255U 512Gb Ssd 8Gb Ram Win 11 Pro 6S7U9Ea,https://www.firstshop.co.za/products/hp-250-g9-15-6-inch-fhd-laptop-intel-core-i7-1255u-512gb-ssd-8gb-ram-win-11-pro-6s7u9ea-156855,"1,599,900.00",-26.1987,27.97577
Matrixwarehouse,Hp 250 G9 Notebook,https://matrixwarehouse.co.za/product/hp250-g9-i5-1235u16gb512gb-ssdwin11p/,"13,639.00",-26.2801,28.12398
Computermania,Hp | Victus 15 | Core I5 | 15.6" Fhd | 16Gb Ram | 512Gb Ssd | Rtx4060 Gaming - Mica Silver,https://computermania.co.za/products/hp-victus-15-15-6-fhd-core-i5-12th-gen-16gb-ram-512gb-ssd-rtx4060-gaming-mica-silver?_pos=1&_sid=faf1ff0c7&_ss=r,"9,999.00",-33.843,18.54206
Huge,15.6″ Hp 250 G9 Full Hd Laptop – Intel Core I5,https://www.huge.co.za/shop/15-6-hp-250-g9-full-hd-laptop-intel-core-i5/,"13,656.00",-25.8606,28.19005
Snapcraze,Apple Iphone 15 Pro 128Gb Black Titanium,https://snapcraze.co.za/product/apple-iphone-15-pro-128gb-black/,"22,999.00",-29.7474,31.03643
Activecellular,Apple Iphone 15 Pro 128Gb ,https://activecellular.co.za/product/apple-iphone-15-pro-256gb/,"26,775.00",-26.2625,28.23321
Mintyswholesalers,Apple Iphone 14 Pro 1Tb,https://mintyswholesalers.co.za/product/apploe-iphone-14-pro-1tb/,"37,499.99",-25.4685,30.97605
Jkphones,Apple Iphone 15 Pro Max (256Gb) Titanuim,https://jkphones.co.za/products/apple-iphone-15-pro-max-256gb-titanuim-pre-order?_pos=3&_sid=2485dcbfd&_ss=r,"27,999.00",-26.2359,28.00936
Bobshop,Apple Iphone 15 256Gb,https://www.bobshop.co.za/apple-iphone-15-256gb/p/620785069,"19,000.00",-26.0452,28.02426
Pascalfurniture,Euro Four Seater Couch (Linen),https://pascalfurniture.com/collections/four-seater-couches/products/euro-four-seater-couch,"12,000.00",-33.8556,18.5163
Furniture Connection,Poland Corner Couch With Extendable Headrest,https://furnitureconnection.co.za/product/poland-corner-couch-with-extendable-headrest/,"13,495.00",-26.0266,28.00724
Sofa Company,"Aya 4-Seater Planet Grey Green,Oak Soap",https://sofacompany.co.za/collections/4-seater-sofa/products/aya-4-seater-planet-grey-green-oak-soap,"44,999.00",-33.9145,18.41917
Ashleyfurniture,Maggie 3-Piece Lounge Sofa Birch Collection,https://www.ashleyfurniture.co.za/lounge/lounge-suites/maggie-3-piece-lounge-sofa-birch-collection/,"40,980.00",-25.9308,28.14252
Zororasofas,Lira Luxe 4 Seater,https://zororasofas.co.za/products/lira-luxe-4-seater,"15,000.00",-33.9327,18.44019
Makro,Defy 6 Kg Front Loader Washing Machine,https://www.makro.co.za/appliances/washers-tumble-dryers/washing-machines/front-load-washers/front-load-washers/defy-6-kg-front-loader-washing-machine/p/000000000000360769_EA,"4,999.00",-34.0817,18.85197
Metrohomecentre,Beko 9Kg Manhattan Grey Front Loader Washing Machine – Baw202,https://metrohomecentre.com/product/beko-9kg-manhattan-grey-front-loader-washing-machine-baw202/,"7,999.00",-25.7866,28.27695
Game,Bennett Read Eco F/Loader Touch W/M Jcw102,https://www.game.co.za/Home-Appliances/Washers-Dryers/Washing-Machines/p/000000000850013245,"6,499.00",-26.1036,28.05158
Takealot,"Samsung 7Kg Front Loader, With Steam And Eco Bubble Technology",https://www.takealot.com/samsung-7kg-front-loader-with-steam-and-eco-bubble-technology/PLID72546226,"6,999.00",-33.9183,18.4284
Pnphome,Defy Top Loader 8Kg Man Grey Dtl165,https://www.pnphome.co.za/defy-top-loader-8kg-man-grey-dtl165/p/000000000000921828_EA,"4,799.00",-26.208,28.03879
Bbgezinanissan,Toyota Hilux My20.10 2..8 Gd6 Rb Legend 6At Dc 2023,https://bbgezinanissan.co.za/used/listings/toyota-hilux-my20-10-2-8-gd6-rb-legend-6at-dc-2023/,"679,900.00",-25.703,28.19974
Cfaomobility.,Toyota Vitz,https://www.cfaomobility.co.za/toyota/new-cars/toyota-vitz/,"189,900.00",-26.1071,27.88793
Supergroupdealerships,Toyota Vitz,https://www.supergroupdealerships.co.za/showroom/vehicle-details/toyota/vitz/164-34CBU48450,"199,899.00",-26.1146,28.05237
